WARNING 2025-07-09 05:01:34,978 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:01:35,004 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:35,006 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
INFO 2025-07-09 05:01:35,007 basehttp 8627 6228406272 "GET /api/v1/organizations/ HTTP/1.1" 200 52
WARNING 2025-07-09 05:01:35,009 log 8627 6312538112 Not Found: /api/dashboard/commission
INFO 2025-07-09 05:01:35,010 basehttp 8627 6194753536 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
WARNING 2025-07-09 05:01:35,011 basehttp 8627 6312538112 "GET /api/dashboard/commission HTTP/1.1" 404 7703
INFO 2025-07-09 05:01:35,011 basehttp 8627 6278885376 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:01:35,021 basehttp 8627 6228406272 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:01:35,022 basehttp 8627 6211579904 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
INFO 2025-07-09 05:01:35,024 basehttp 8627 6278885376 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
WARNING 2025-07-09 05:01:36,061 log 8627 6295711744 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:36,061 basehttp 8627 6295711744 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:36,094 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:36,094 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:01:36,150 log 8627 6295711744 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:36,150 basehttp 8627 6295711744 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:36,187 log 8627 6295711744 Not Found: /api/dashboard/main
